Sigla,Município,Q1,Q2,Q3,Q4,Average Precipitation,,,,
PB,Várzea,66.6,139.37,13.8,3.77,55.885,,,,
PB,Vieirópolis,,,,,#DIV/0!,,,,
PB,Zabelê,,,,,#DIV/0!,,,,
PE,Abreu e Lima,91.47,281,285.07,64.73,180.5675,,,,
PE,Afogados da Ingazeira,67.8,128.5,26.17,7.43,57.475,,,,
PE,Afrânio,71.54,70.39,2.58,22.12,41.6575,,,,
PE,Agrestina,34.03,96.8,108.37,23.5,65.675,,,,
PE,Água Preta,66.57,199.83,215.5,57.87,134.9425,,,,
PE,Águas Belas,38.41,76.93,63.2,16.19,48.6825,,,,
PE,Alagoinha,45.73,101.8,61.13,15.93,56.1475,,,,
PE,Aliança,51.7,148.3,141.43,34.93,94.09,,,,
PE,Altinho,30.2,74.1,69.23,15.8,47.3325,,,,
PE,Amaraji,89.37,240.3,274.97,70.83,168.8675,,,,
PE,Angelim,34.53,106.87,125.5,32.03,74.7325,,,,
PE,Araçoiaba,,,,,#DIV/0!,,,,
PE,Araripina,106.19,104.69,7.06,19.16,59.275,,,,
PE,Arcoverde,53.7,117,75.83,21.93,67.115,,,,
PE,Barra de Guabiraba,60.03,169.23,188.4,47.3,116.24,,,,
PE,Barreiros,86.37,259.03,258.67,71.1,168.7925,,,,
PE,Belém de Maria,44.8,127.07,135.07,34.13,85.2675,,,,
PE,Belém de São Francisco,67.83,88.83,12.66,13.46,45.695,,,,
PE,Belo Jardim,40.53,98.96,57.49,14.51,52.8725,,,,
PE,Betânia,72.64,98.35,22.94,12.14,51.5175,,,,
PE,Bezerros,35.5,89.17,74.4,17.5,54.1425,,,,
PE,Bodocó,97.9,113.71,15.53,20.52,61.915,,,,
PE,Bom Conselho,33.63,88.91,108.54,27.77,64.7125,,,,
PE,Bom Jardim,48.33,125.23,138.8,35.67,87.0075,,,,
PE,Bonito,50.13,145.35,161.1,40.13,99.1775,,,,
PE,Brejão,43.07,112.83,136.03,37.4,82.3325,,,,
PE,Brejinho,66.27,126.9,16.03,4.87,53.5175,,,,
PE,Brejo da Madre de Deus,41.23,97.32,53.42,15.53,51.875,,,,
PE,Buenos Aires,55.13,141.3,153.9,39.07,97.35,,,,
PE,Buíque,48.26,94.77,59.38,17.82,55.0575,,,,
PE,Cabo de Santo Agostinho,74.02,195.52,208.82,55.32,133.42,,,,
PE,Cabrobó,73.09,95.95,9.96,12.85,47.9625,,,,
PE,Cachoeirinha,36.07,81.73,56.8,15.6,47.55,,,,
PE,Caetés,46.6,91.5,63.37,20.67,55.535,,,,
PE,Calçado,43.27,99.63,87.3,24.4,63.65,,,,
PE,Calumbi,84.8,116.97,26.48,13.57,60.455,,,,
PE,Camaragibe,66.93,191.43,207.8,48.87,128.7575,,,,
PE,Camocim de São Félix,42.67,124.97,137.97,32.77,84.595,,,,
PE,Camutanga,51.43,142.43,126.83,29.17,87.465,,,,
PE,Canhotinho,36.83,113.55,122.93,30.5,75.9525,,,,
PE,Capoeiras,46.77,94.93,77.77,23.57,60.76,,,,
PE,Carnaíba,74.9,134.4,28,9,61.575,,,,
PE,Carnaubeira da Penha,72.8,101.32,20.87,15.67,52.665,,,,
PE,Carpina,55.13,141.3,153.9,39.07,97.35,,,,
PE,Caruaru,32.14,76.39,58.41,11.97,44.7275,,,,
PE,Casinhas,,,,,#DIV/0!,,,,
PE,Catende,62.07,168.63,188.83,55.13,118.665,,,,
PE,Cedro,95.77,123.1,13.93,10.87,60.9175,,,,
PE,Chã de Alegria,46.67,139.4,139.9,28.33,88.575,,,,
PE,Chã Grande,56.7,153.63,169.13,40.8,105.065,,,,
PE,Condado,70.33,203.97,197.07,49.7,130.2675,,,,
PE,Correntes,44.91,138.82,178.53,46.86,102.28,,,,
PE,Cortês,60.03,169.23,188.4,47.3,116.24,,,,
PE,Cumaru,32.93,96.73,82.23,14.9,56.6975,,,,
PE,Cupira,44.8,127.07,135.07,34.13,85.2675,,,,
PE,Custódia,68.97,118.91,35.23,14.79,59.475,,,,
PE,Dormentes,79.54,81.13,5.74,20.93,46.835,,,,
PE,Escada,84.03,234.9,246.33,66.27,157.8825,,,,
PE,Exu,103.33,133.2,28.4,20.99,71.48,,,,
PE,Feira Nova,43.33,112.73,116.27,25,74.3325,,,,
PE,Fernando de Noronha,48.87,174.73,123.83,15.3,90.6825,,,,
PE,Ferreiros,51.43,142.43,126.83,29.17,87.465,,,,
PE,Flores,76.02,121.9,28.7,12.4,59.755,,,,
PE,Floresta,67.95,83.43,14.69,12.14,44.5525,,,,
PE,Frei Miguelinho,32.3,89.47,83.57,15.57,55.2275,,,,
PE,Gameleira,82.43,237.87,254.27,64.3,159.7175,,,,
PE,Garanhuns,45.5,106.93,109.4,32.77,73.65,,,,
PE,Glória do Goitá,38.97,106.77,109.73,23.37,69.71,,,,
PE,Goiana,82.28,246.03,232.02,54.97,153.825,,,,
PE,Granito,88.63,110,19.9,19.77,59.575,,,,
PE,Gravatá,32.92,94.18,81.87,18.52,56.8725,,,,
PE,Iati,37.32,78.08,66.77,15.87,49.51,,,,
PE,Ibimirim,57.34,86.2,29.53,13.48,46.6375,,,,
PE,Ibirajuba,36.43,94,73.33,19.93,55.9225,,,,
PE,Igarassu,59.47,183.23,185.63,40.67,117.25,,,,
PE,Iguaraci,64.53,127.35,37.73,13.43,60.76,,,,
PE,Inajá,53.37,73.05,32.86,13.57,43.2125,,,,
PE,Ingazeira,66.6,125.53,26.1,9.33,56.89,,,,
PE,Ipojuca,93.88,247.65,260.95,70.85,168.3325,,,,
PE,Ipubi,108.68,114.02,11.72,19.38,63.45,,,,
PE,Itacuruba,62.93,66.1,7.73,12.6,37.34,,,,
PE,Itaíba,48.48,85.34,59.73,16.02,52.3925,,,,
PE,Itamaracá,89.93,282.47,267.57,59.83,174.95,,,,
PE,Itambé,59.13,168.48,156.23,35.32,104.79,,,,
PE,Itapetim,52.1,119.77,29.53,5,51.6,,,,
PE,Itapissuma,89.93,282.47,267.57,59.83,174.95,,,,
PE,Itaquitinga,59.47,183.23,185.63,40.67,117.25,,,,
PE,Jaboatão dos Guararapes,64.57,173.43,190.27,48.5,119.1925,,,,
PE,Jaqueira,,,,,#DIV/0!,,,,
PE,Jataúba,41.9,107.23,52.27,10.98,53.095,,,,
PE,Jatobá,,,,,#DIV/0!,,,,
PE,João Alfredo,42.03,108.37,110.93,25.97,71.825,,,,
PE,Joaquim Nabuco,71.47,206.87,236.37,60.67,143.845,,,,
PE,Jucati,43.27,99.63,87.3,24.4,63.65,,,,
PE,Jupi,43.27,99.63,87.3,24.4,63.65,,,,
PE,Jurema,32.4,101.43,109.77,25.77,67.3425,,,,
PE,Lagoa do Carro,43.33,112.73,116.27,25,74.3325,,,,
PE,Lagoa do Itaenga,46.67,139.4,139.9,28.33,88.575,,,,
PE,Lagoa do Ouro,52.3,157.33,206.93,53.6,117.54,,,,
PE,Lagoa dos Gatos,47.07,139.9,145.83,39.93,93.1825,,,,
PE,Lagoa Grande,,,,,#DIV/0!,,,,
PE,Lajedo,36.97,99.4,96.3,24.5,64.2925,,,,
PE,Limoeiro,43.33,112.73,116.27,25,74.3325,,,,
PE,Macaparana,55.13,139.27,140.2,37.13,92.9325,,,,
PE,Machados,48.33,125.23,138.8,35.67,87.0075,,,,
PE,Manari,,,,,#DIV/0!,,,,
PE,Maraial,62.07,168.63,188.83,55.13,118.665,,,,
PE,Mirandiba,78.48,110.1,14.29,15.12,54.4975,,,,
PE,Moreno,64.57,173.43,190.27,48.5,119.1925,,,,
PE,Nazaré da Mata,47.07,147.6,141.03,29.87,91.3925,,,,
PE,Olinda,91.47,281,285.07,64.73,180.5675,,,,
PE,Orobó,48.33,125.23,138.8,35.67,87.0075,,,,
PE,Orocó,69.13,86.67,7.73,12.9,44.1075,,,,
PE,Ouricuri,88.31,92.14,8.2,21.46,52.5275,,,,
PE,Palmares,71.47,206.87,236.37,60.67,143.845,,,,
PE,Palmeirina,34.53,106.87,125.5,32.03,74.7325,,,,
PE,Panelas,34.22,100.08,100.53,24.02,64.7125,,,,
PE,Paranatama,44.1,91.13,82.8,25.17,60.8,,,,
PE,Parnamirim,80.18,89.86,8.55,17.84,49.1075,,,,
PE,Passira,42.03,108.37,110.93,25.97,71.825,,,,
PE,Paudalho,56.8,165.42,173.85,38.6,108.6675,,,,
PE,Paulista,91.47,281,285.07,64.73,180.5675,,,,
PE,Pedra,38.43,71.33,30.1,13.3,38.29,,,,
PE,Pesqueira,49.3,103.85,59.5,17.67,57.58,,,,
PE,Petrolândia,51.01,62.15,18.74,13.08,36.245,,,,
PE,Petrolina,70.12,71.14,4.48,21.02,41.69,,,,
PE,Poção,47.8,113,70.1,15.67,61.6425,,,,
PE,Pombos,56.7,153.63,169.13,40.8,105.065,,,,
PE,Primavera,89.37,240.3,274.97,70.83,168.8675,,,,
PE,Quipapá,32.4,101.43,109.77,25.77,67.3425,,,,
PE,Quixaba,87.97,138.07,29.9,13.17,67.2775,,,,
PE,Recife,100.1,290.13,311,74.8,194.0075,,,,
PE,Riacho das Almas,30.73,87.6,65.23,12.2,48.94,,,,
PE,Ribeirão,89.37,240.3,274.97,70.83,168.8675,,,,
PE,Rio Formoso,86.37,259.03,258.67,71.1,168.7925,,,,
PE,Sairé,35.5,89.17,74.4,17.5,54.1425,,,,
PE,Salgadinho,42.03,108.37,110.93,25.97,71.825,,,,
PE,Salgueiro,75.82,94.7,12.82,14.33,49.4175,,,,
PE,Saloá,31.87,72.27,81.03,21.93,51.775,,,,
PE,Sanharó,41.77,101.27,55.67,14.2,53.2275,,,,
PE,Santa Cruz,84.08,87.86,8,21.43,50.3425,,,,
PE,Santa Cruz da Baixa Verde,85.73,112.57,19.83,14.17,58.075,,,,
PE,Santa Cruz do Capibaribe,30.65,73.07,35.18,6.17,36.2675,,,,
PE,Santa Filomena,,,,,#DIV/0!,,,,
PE,Santa Maria da Boa Vista,73.49,78.22,7.64,17.98,44.3325,,,,
PE,Santa Maria do Cambucá,28.8,86.17,72.83,13.63,50.3575,,,,
PE,Santa Terezinha,69.7,138.23,33.27,9.23,62.6075,,,,
PE,São Benedito do Sul,47.07,139.9,145.83,39.93,93.1825,,,,
PE,São Bento do Una,42.21,93.69,56.48,17.01,52.3475,,,,
PE,São Caitano,33.4,71.47,60.73,14,44.9,,,,
PE,São João,40.87,111.7,122.1,34.23,77.225,,,,
PE,São Joaquim do Monte,34.03,96.8,108.37,23.5,65.675,,,,
PE,São José da Coroa Grande,78.6,223.13,221.1,61.5,146.0825,,,,
PE,São José do Belmonte,101.31,124.09,14.26,15.1,63.69,,,,
PE,São José do Egito,65.4,127.08,29.39,7.46,57.3325,,,,
PE,São Lourenço da Mata,64.57,173.43,190.27,48.5,119.1925,,,,
PE,São Vicente Ferrer,45.7,118.67,120.93,30.5,78.95,,,,
PE,Serra Talhada,87.12,112.6,20.41,14.54,58.6675,,,,
PE,Serrita,84.51,105.89,12.53,15.17,54.525,,,,
PE,Sertânia,57.17,96.39,23.09,13.71,47.59,,,,
PE,Sirinhaém,88.7,255.47,256.4,70.1,167.6675,,,,
PE,Moreilândia,105.87,128.67,25.65,21.45,70.41,,,,
PE,Solidão,80.27,140.23,27.4,9.43,64.3325,,,,
PE,Surubim,36.52,103.2,96.87,21.98,64.6425,,,,
PE,Tabira,68.27,132.5,27.9,8.37,59.26,,,,
PE,Tacaimbó,36.07,81.73,56.8,15.6,47.55,,,,
PE,Tacaratu,54.09,76.11,39.68,16.99,46.7175,,,,
PE,Tamandaré,,,,,#DIV/0!,,,,
PE,Taquaritinga do Norte,40.63,83.43,77.33,15.43,54.205,,,,
PE,Terezinha,43.07,112.83,136.03,37.4,82.3325,,,,
PE,Terra Nova,87.33,97.8,9.87,16.5,52.875,,,,
PE,Timbaúba,55.13,139.27,140.2,37.13,92.9325,,,,
PE,Toritama,40.63,83.43,77.33,15.43,54.205,,,,
PE,Tracunhaém,47.07,147.6,141.03,29.87,91.3925,,,,
PE,Trindade,106.87,113.97,11.7,22.47,63.7525,,,,
PE,Triunfo,85.8,120.23,24.73,13.67,61.1075,,,,
PE,Tupanatinga,57.55,104.53,62.13,20.15,61.09,,,,
PE,Tuparetama,62.4,123.97,31.4,11.77,57.385,,,,
PE,Venturosa,46.8,93.7,46.57,16.73,50.95,,,,
PE,Verdejante,81.6,101.3,5.37,9.67,49.485,,,,
PE,Vertente do Lério,36.57,102,96.17,22.4,64.285,,,,
PE,Vertentes,40.63,83.43,77.33,15.43,54.205,,,,
PE,Vicência,55.13,141.3,153.9,39.07,97.35,,,,
PE,Vitória de Santo Antão,43.97,118.87,118.13,27.53,77.125,,,,
PE,Xexéu,60.4,165.8,193.77,57.73,119.425,,,,
PE,Muribeca,,,,,#DIV/0!,,,,
PE,Nossa Senhora do Ó de Goyanna,,,,,#DIV/0!,,,,
PE,Cimbres,,,,,#DIV/0!,,,,
PI,Acauã,,,,,#DIV/0!,,,,
PI,Agricolândia,190.6,221.3,11.8,50.83,118.6325,,,,
PI,Água Branca,190.02,219.88,12.6,52.25,118.6875,,,,
PI,Alagoinha do Piauí,91.15,105.55,4.67,15.68,54.2625,,,,
PI,Alegrete do Piauí,97.73,101.33,3.47,17.47,55,,,,
PI,Alto Longá,171.27,226.69,12.88,29.96,110.2,,,,
PI,Altos,182.28,247.46,17.11,32.77,119.905,,,,
PI,Alvorada do Gurguéia,,,,,#DIV/0!,,,,
PI,Amarante,177.07,190.01,7.89,55.01,107.495,,,,
PI,Angical do Piauí,176.2,200.03,9.5,53.43,109.79,,,,
PI,Anísio de Abreu,129.99,91.03,3.44,54.98,69.86,,,,
PI,Antônio Almeida,159.73,118.44,5.08,74.04,89.3225,,,,
PI,Aroazes,152.16,166.86,6.67,34.64,90.0825,,,,
PI,Aroeiras de Itaim,,,,,#DIV/0!,,,,
PI,Arraial,177.52,160.49,5.77,51.21,98.7475,,,,
PI,Assunção do Piauí,,,,,#DIV/0!,,,,
PI,Avelino Lopes,140.03,75.03,2.31,59.7,69.2675,,,,
PI,Baixa Grande do Ribeiro,170.53,113.76,4.09,76.74,91.28,,,,
PI,Barra D'Alcântara,,,,,#DIV/0!,,,,
PI,Barras,190.13,289.41,28.17,20.67,132.095,,,,
PI,Barreiras do Piauí,190.41,94.9,1.79,91.31,94.6025,,,,
PI,Barro Duro,194.27,228.1,13.33,50.73,121.6075,,,,
PI,Batalha,190.08,298.53,37.38,23.34,137.3325,,,,
PI,Bela Vista do Piauí,,,,,#DIV/0!,,,,
PI,Belém do Piauí,,,,,#DIV/0!,,,,
PI,Beneditinos,189.98,243.38,15.1,40.4,122.215,,,,
PI,Bertolínia,149,103.26,2.76,67.22,80.56,,,,
PI,Betânia do Piauí,,,,,#DIV/0!,,,,
PI,Boa Hora,,,,,#DIV/0!,,,,
PI,Bocaina,104.3,109.07,3.77,16.53,58.4175,,,,
PI,Bom Jesus,149.86,97.73,3,70.07,80.165,,,,
PI,Bom Princípio do Piauí,105.47,229.63,28.8,4.4,92.075,,,,
PI,Bonfim do Piauí,117.9,83.47,1.8,45.67,62.21,,,,
PI,Boqueirão do Piauí,,,,,#DIV/0!,,,,
PI,Brasileira,137.22,241.2,17.97,14,102.5975,,,,
PI,Brejo do Piauí,,,,,#DIV/0!,,,,
PI,Buriti dos Lopes,131.57,261.16,39.52,10.05,110.575,,,,
PI,Buriti dos Montes,113.89,169.89,8.53,10.5,75.7025,,,,
PI,Cabeceiras do Piauí,190.27,277.87,24.09,22.09,128.58,,,,
PI,Cajazeiras do Piauí,,,,,#DIV/0!,,,,
PI,Cajueiro da Praia,,,,,#DIV/0!,,,,
PI,Caldeirão Grande do Piauí,103.6,108.5,4.03,17.52,58.4125,,,,
PI,Campinas do Piauí,115.39,83.54,2,29.16,57.5225,,,,
PI,Campo Alegre do Fidalgo,,,,,#DIV/0!,,,,
PI,Campo Grande do Piauí,,,,,#DIV/0!,,,,
PI,Campo Largo do Piauí,,,,,#DIV/0!,,,,
PI,Campo Maior,174.84,234.08,14.31,23.38,111.6525,,,,
PI,Canavieira,152.25,110.81,3,62.22,82.07,,,,
PI,Canto do Buriti,130.83,96.91,3.6,52.85,71.0475,,,,
PI,Capitão de Campos,164.1,236.17,12.77,17.97,107.7525,,,,
PI,Capitão Gervásio Oliveira,,,,,#DIV/0!,,,,
PI,Caracol,133.94,88.33,2.31,59.66,71.06,,,,
PI,Caraúbas do Piauí,,,,,#DIV/0!,,,,
PI,Caridade do Piauí,,,,,#DIV/0!,,,,
PI,Castelo do Piauí,135.94,184.84,6.95,16.14,85.9675,,,,
PI,Caxingó,,,,,#DIV/0!,,,,
PI,Cocal,100.95,216.92,24.73,9.11,87.9275,,,,
PI,Cocal de Telha,,,,,#DIV/0!,,,,
PI,Cocal dos Alves,,,,,#DIV/0!,,,,
PI,Coivaras,178.9,241.4,16.3,28.77,116.3425,,,,
PI,Colônia do Gurguéia,139.23,97.12,4.14,58.91,74.85,,,,
PI,Colônia do Piauí,139.87,99.12,3.01,38.12,70.03,,,,
PI,Conceição do Canindé,108.58,86.53,2.38,27.93,56.355,,,,
PI,Coronel José Dias,101.61,81.59,3.15,40.78,56.7825,,,,
PI,Corrente,171.87,89.95,1.43,84.51,86.94,,,,
PI,Cristalândia do Piauí,170.94,85.55,1.64,87.39,86.38,,,,
PI,Cristino Castro,142.47,98.9,2.96,62.07,76.6,,,,
PI,Curimatá,158.82,87.17,2.25,69.41,79.4125,,,,
PI,Currais,,,,,#DIV/0!,,,,
PI,Curralinhos,,,,,#DIV/0!,,,,
PI,Curral Novo do Piauí,,,,,#DIV/0!,,,,
PI,Demerval Lobão,191.5,233.1,11.97,38.4,118.7425,,,,
PI,Dirceu Arcoverde,101.86,80.2,1.54,42.28,56.47,,,,
PI,Dom Expedito Lopes,130.73,104.6,3.37,28.67,66.8425,,,,
PI,Domingos Mourão,121.27,214.03,10.78,8.7,88.695,,,,
PI,Dom Inocêncio,91.55,72.96,3.24,32.07,49.955,,,,
PI,Elesbão Veloso,172.67,192.39,8.46,49,105.63,,,,
PI,Eliseu Martins,140.74,94.18,3.5,61.87,75.0725,,,,
PI,Esperantina,177.41,291.49,51.22,25.54,136.415,,,,
PI,Fartura do Piauí,111.65,80.27,1.12,43.4,59.11,,,,
PI,Flores do Piauí,126.2,100.77,3.03,47.03,69.2575,,,,
PI,Floresta do Piauí,,,,,#DIV/0!,,,,
PI,Floriano,161.97,125.08,6.01,59.76,88.205,,,,
PI,Francinópolis,176.6,183.67,6.97,50.43,104.4175,,,,
PI,Francisco Ayres,177.6,158.77,5.7,55.27,99.335,,,,
PI,Francisco Macedo,,,,,#DIV/0!,,,,
PI,Francisco Santos,95.55,104.88,4.12,15.42,54.9925,,,,
PI,Fronteiras,88.57,105.2,4.97,15.57,53.5775,,,,
PI,Geminiano,,,,,#DIV/0!,,,,
PI,Gilbués,173.68,88.41,1.49,82.84,86.605,,,,
PI,Guadalupe,151.43,115.03,6.08,58.82,82.84,,,,
PI,Guaribas,,,,,#DIV/0!,,,,
PI,Hugo Napoleão,183.37,209.37,11.3,54.43,114.6175,,,,
PI,Ilha Grande,,,,,#DIV/0!,,,,
PI,Inhuma,134.8,124.28,4.22,29.54,73.21,,,,
PI,Ipiranga do Piauí,146.43,124.47,3.77,33.5,77.0425,,,,
PI,Isaías Coelho,120.73,92.37,2.62,28.4,61.03,,,,
PI,Itainópolis,116.26,91.68,2.73,25.62,59.0725,,,,
PI,Itaueira,148.72,117.75,3.19,57.33,81.7475,,,,
PI,Jacobina do Piauí,97.93,81.05,1.78,21.64,50.6,,,,
PI,Jaicós,101.56,86.5,2.63,19.56,52.5625,,,,
PI,Jardim do Mulato,180.68,207.68,10.62,54.5,113.37,,,,
PI,Jatobá do Piauí,,,,,#DIV/0!,,,,
PI,Jerumenha,163.19,119.23,3.94,60.18,86.635,,,,
PI,João Costa,,,,,#DIV/0!,,,,
PI,Joaquim Pires,151.42,278.47,44.27,14.22,122.095,,,,
PI,Joca Marques,,,,,#DIV/0!,,,,
PI,José de Freitas,180.47,258.27,17.63,26.28,120.6625,,,,
PI,Juazeiro do Piauí,,,,,#DIV/0!,,,,
PI,Júlio Borges,,,,,#DIV/0!,,,,
PI,Jurema,,,,,#DIV/0!,,,,
PI,Lagoinha do Piauí,,,,,#DIV/0!,,,,
PI,Lagoa Alegre,185.37,269.17,20.9,25.8,125.31,,,,
PI,Lagoa do Barro do Piauí,82.62,71.44,2.81,26.3,45.7925,,,,
PI,Lagoa de São Francisco,,,,,#DIV/0!,,,,
PI,Lagoa do Piauí,,,,,#DIV/0!,,,,
PI,Lagoa do Sítio,,,,,#DIV/0!,,,,
PI,Landri Sales,161.05,116.56,4.13,70.16,87.975,,,,
PI,Luís Correia,116.77,249.01,23.19,3.39,98.09,,,,
PI,Luzilândia,169.44,268.17,51.09,24.69,128.3475,,,,
PI,Madeiro,,,,,#DIV/0!,,,,
PI,Manoel Emídio,143.27,99.47,2.63,65.55,77.73,,,,
PI,Marcolândia,105.9,95.93,3.03,17.67,55.6325,,,,
PI,Marcos Parente,157.7,116.73,5.23,69.93,87.3975,,,,
PI,Massapê do Piauí,,,,,#DIV/0!,,,,
PI,Matias Olímpio,187.53,293.23,49.33,27.05,139.285,,,,
PI,Miguel Alves,197.27,299.43,38.21,28.11,140.755,,,,
PI,Miguel Leão,194.27,228.1,13.33,50.73,121.6075,,,,
PI,Milton Brandão,,,,,#DIV/0!,,,,
PI,Monsenhor Gil,198.93,243.53,13.5,45.82,125.445,,,,
PI,Monsenhor Hipólito,96.07,111.7,4.57,15.5,56.96,,,,
PI,Monte Alegre do Piauí,167.09,93.44,1.94,78.2,85.1675,,,,
PI,Morro Cabeça no Tempo,,,,,#DIV/0!,,,,
PI,Morro do Chapéu do Piauí,,,,,#DIV/0!,,,,
PI,Murici dos Portelas,,,,,#DIV/0!,,,,
PI,Nazaré do Piauí,155.33,117.32,4.85,54.18,82.92,,,,
PI,Nazária,,,,,#DIV/0!,,,,
PI,Nossa Senhora de Nazaré,,,,,#DIV/0!,,,,
PI,Nossa Senhora dos Remédios,195.93,309.6,38.8,22.23,141.64,,,,
PI,Novo Oriente do Piauí,153.1,149.55,4.5,35.93,85.77,,,,
PI,Novo Santo Antônio,,,,,#DIV/0!,,,,
PI,Oeiras,152.87,118.2,4.17,39.85,78.7725,,,,
PI,Olho D'Água do Piauí,,,,,#DIV/0!,,,,
PI,Padre Marcos,97.43,89.48,2.68,17.25,51.71,,,,
PI,Paes Landim,125.17,89.24,1.93,32.79,62.2825,,,,
PI,Pajeú do Piauí,,,,,#DIV/0!,,,,
PI,Palmeira do Piauí,143.75,99.56,2.79,67.71,78.4525,,,,
PI,Palmeirais,182.87,199.18,10.68,54.58,111.8275,,,,
PI,Paquetá,,,,,#DIV/0!,,,,
PI,Parnaguá,165.82,88.17,1.75,74.69,82.6075,,,,
PI,Parnaíba,129.32,270.3,32.93,4.52,109.2675,,,,
PI,Passagem Franca do Piauí,185.12,216.09,12.67,50.75,116.1575,,,,
PI,Patos do Piauí,111.68,89.17,2.26,24.98,57.0225,,,,
PI,Pau D'Arco do Piauí,,,,,#DIV/0!,,,,
PI,Paulistana,88.85,74.93,2.59,22.76,47.2825,,,,
PI,Pavussu,,,,,#DIV/0!,,,,
PI,Pedro II,132.77,197.41,9.18,11.59,87.7375,,,,
PI,Pedro Laurentino,,,,,#DIV/0!,,,,
PI,Nova Santa Rita,,,,,#DIV/0!,,,,
PI,Picos,118.06,99.31,3.59,24.46,61.355,,,,
PI,Pimenteiras,105.35,136.63,6.49,18.86,66.8325,,,,
PI,Pio IX,86.74,118.46,7.62,15.16,56.995,,,,
PI,Piracuruca,133.62,243.15,22.16,14.63,103.39,,,,
PI,Piripiri,173.83,275.01,19.77,19.19,121.95,,,,
PI,Porto,193.57,318.47,41.42,22.44,143.975,,,,
PI,Porto Alegre do Piauí,,,,,#DIV/0!,,,,
PI,Prata do Piauí,167.53,205.1,10.43,39.8,105.715,,,,
PI,Queimada Nova,78.22,70.93,2.44,23.44,43.7575,,,,
PI,Redenção do Gurguéia,164.04,106.45,3.11,74.61,87.0525,,,,
PI,Regeneração,180.52,198.2,9.13,53.64,110.3725,,,,
PI,Riacho Frio,,,,,#DIV/0!,,,,
PI,Ribeira do Piauí,,,,,#DIV/0!,,,,
PI,Ribeiro Gonçalves,186.78,121.83,5.58,80.99,98.795,,,,
PI,Rio Grande do Piauí,137.91,105.03,2.76,58.82,76.13,,,,
PI,Santa Cruz do Piauí,125.34,92.78,2.76,30.31,62.7975,,,,
PI,Santa Cruz dos Milagres,149.17,177.2,7.93,31.97,91.5675,,,,
PI,Santa Filomena,188.91,109.74,3.04,87.79,97.37,,,,
PI,Santa Luz,155.13,100.69,3.35,72.71,82.97,,,,
PI,Santana do Piauí,117.83,109.77,4,22.37,63.4925,,,,
PI,Santa Rosa do Piauí,169.27,146.48,5.28,44.7,91.4325,,,,
PI,Santo Antônio de Lisboa,103.97,99.33,3.53,17.6,56.1075,,,,
PI,Santo Antônio dos Milagres,,,,,#DIV/0!,,,,
PI,Santo Inácio do Piauí,116.81,79.82,2.1,29.93,57.165,,,,
PI,São Braz do Piauí,125.96,88.06,3.39,52.1,67.3775,,,,
PI,São Félix do Piauí,180.43,202.17,10.68,49.15,110.6075,,,,
PI,São Francisco de Assis do Piauí,,,,,#DIV/0!,,,,
PI,São Francisco do Piauí,151.54,115.07,4.99,47.44,79.76,,,,
PI,São Gonçalo do Gurguéia,,,,,#DIV/0!,,,,
PI,São Gonçalo do Piauí,185.77,211.67,11.87,53.77,115.77,,,,
PI,São João da Canabrava,120.31,132.34,4.59,23.82,70.265,,,,
PI,São João da Fronteira,,,,,#DIV/0!,,,,
PI,São João da Serra,150.88,187.44,7.43,23.22,92.2425,,,,
PI,São João da Varjota,,,,,#DIV/0!,,,,
PI,São João do Arraial,,,,,#DIV/0!,,,,
PI,São João do Piauí,106.63,83.39,2.41,32.87,56.325,,,,
PI,São José do Divino,162.37,284.23,49.2,24.73,130.1325,,,,
PI,São José do Peixe,136.33,101.61,3.43,40.53,70.475,,,,
PI,São José do Piauí,121.9,125.93,4.3,24.1,69.0575,,,,
PI,São Julião,90.27,104.1,4.5,16.83,53.925,,,,
PI,São Lourenço do Piauí,105.14,82.82,1.64,42.44,58.01,,,,
PI,São Luis do Piauí,,,,,#DIV/0!,,,,
PI,São Miguel da Baixa Grande,,,,,#DIV/0!,,,,
PI,São Miguel do Fidalgo,,,,,#DIV/0!,,,,
PI,São Miguel do Tapuio,116.43,156.82,6.69,18.59,74.6325,,,,
PI,São Pedro do Piauí,185.52,211.88,10.92,51.92,115.06,,,,
PI,São Raimundo Nonato,117.61,86.5,3.6,47.35,63.765,,,,
PI,Sebastião Barros,,,,,#DIV/0!,,,,
PI,Sebastião Leal,,,,,#DIV/0!,,,,
PI,Sigefredo Pacheco,161.54,213.53,10.28,21.53,101.72,,,,
PI,Simões,97.21,84.05,3.61,19,50.9675,,,,
PI,Simplício Mendes,117.09,88.09,1.73,29.94,59.2125,,,,
PI,Socorro do Piauí,120.65,92.47,2.35,36.48,62.9875,,,,
PI,Sussuapara,,,,,#DIV/0!,,,,
PI,Tamboril do Piauí,,,,,#DIV/0!,,,,
PI,Tanque do Piauí,,,,,#DIV/0!,,,,
PI,Teresina,189.74,234.2,13.22,37.57,118.6825,,,,
PI,União,190,270.82,22.83,29.3,128.2375,,,,
PI,Uruçuí,161.68,115.64,4.07,76.8,89.5475,,,,
PI,Valença do Piauí,139.83,145.96,5.03,31.67,80.6225,,,,
PI,Várzea Branca,117.9,83.47,1.8,45.67,62.21,,,,
PI,Várzea Grande,166.54,164.94,5.47,41.62,94.6425,,,,
PI,Vera Mendes,,,,,#DIV/0!,,,,
