Sigla,Município,Q1,Q2,Q3,Q4,Average Precipitation,,,,
AM,Boca do Acre,268.28,198.7,39.74,168.75,168.8675,,,,
AM,Borba,295.95,267.18,71.9,141.45,194.12,,,,
AM,Caapiranga,234.78,265.77,109.13,141.83,187.8775,,,,
AM,Canutama,297.48,240.31,49.51,172.35,189.9125,,,,
AM,Carauari,285.32,275.58,103.71,193.89,214.625,,,,
AM,Careiro,276.87,276.57,78.63,128.28,190.0875,,,,
AM,Careiro da Várzea,257.39,281.21,85.11,96.67,180.095,,,,
AM,Coari,249.81,261.24,102.38,164.1,194.3825,,,,
AM,Codajás,224.32,262.73,119.77,151.28,189.525,,,,
AM,Eirunepé,281.53,233.99,76.95,184.33,194.2,,,,
AM,Envira,280.15,220.18,64.52,178.73,185.895,,,,
AM,Fonte Boa,225.4,279.07,187.86,174.4,216.6825,,,,
AM,Guajará,250.84,228.85,86.71,194.84,190.31,,,,
AM,Humaitá,301.25,253.88,48.24,173.59,194.24,,,,
AM,Ipixuna,268.16,229.09,80.94,184.03,190.555,,,,
AM,Iranduba,258.49,275.62,89.1,127.92,187.7825,,,,
AM,Itacoatiara,245.1,277.08,96.63,70.09,172.225,,,,
AM,Itamarati,285.69,246.18,71.58,188.47,197.98,,,,
AM,Itapiranga,234.07,285.71,115.62,70.13,176.3825,,,,
AM,Japurá,264.32,322.61,238.85,205.56,257.835,,,,
AM,Juruá,249.98,280.7,151.01,177.91,214.9,,,,
AM,Jutaí,282.61,275.06,131.66,194.62,220.9875,,,,
AM,Lábrea,285.94,218.64,41.39,172.46,179.6075,,,,
AM,Manacapuru,260.56,268.78,90.48,134.63,188.6125,,,,
AM,Manaquiri,277.3,270.13,80.95,138.23,191.6525,,,,
AM,Manaus,236.01,281.07,106.2,115.8,184.77,,,,
AM,Manicoré,314.77,265.79,65.13,181.54,206.8075,,,,
AM,Maraã,214.02,274.96,167.94,165.55,205.6175,,,,
AM,Maués,283.87,254.86,67.28,125.62,182.9075,,,,
AM,Nhamundá,217.97,297.92,144.22,71.71,182.955,,,,
AM,Nova Olinda do Norte,264.35,264.9,79.95,91.02,175.055,,,,
AM,Novo Airão,196.39,272.12,145.2,134.6,187.0775,,,,
AM,Novo Aripuanã,325.13,264.52,56.85,180.84,206.835,,,,
AM,Parintins,249.04,294.23,126.21,79.25,187.1825,,,,
AM,Pauini,278.51,222.67,52.85,180.46,183.6225,,,,
AM,Presidente Figueiredo,179.32,274.37,155.6,99.36,177.1625,,,,
AM,Rio Preto da Eva,233.59,284.52,107.56,96.44,180.5275,,,,
AM,Santa Isabel do Rio Negro,203.19,286.88,242.03,178.56,227.665,,,,
AM,Santo Antônio do Içá,287.61,306.92,196.87,213.09,251.1225,,,,
AM,São Gabriel da Cachoeira,243.62,323.81,300.21,221.64,272.32,,,,
AM,São Paulo de Olivença,296.22,282.61,139.07,208.49,231.5975,,,,
AM,São Sebastião do Uatumã,214.69,286.7,132.75,74.86,177.25,,,,
AM,Silves,239.74,282.57,108.35,66.82,174.37,,,,
AM,Tabatinga,309.71,307.15,165.06,235.04,254.24,,,,
AM,Tapauá,285.15,255.56,72.17,177.27,197.5375,,,,
AM,Tefé,266.96,277.4,110.09,178.57,208.255,,,,
AM,Tonantins,266.17,301.33,209.05,192.4,242.2375,,,,
AM,Uarini,230.54,275.5,150.35,169.62,206.5025,,,,
AM,Urucará,172,275.42,167.12,79.22,173.44,,,,
AM,Urucurituba,247.65,290.03,117.7,70.39,181.4425,,,,
AP,Serra do Navio,243.14,357.08,192.29,58.46,212.7425,,,,
AP,Amapá,291.79,422.07,188.45,42.19,236.125,,,,
AP,Pedra Branca do Amaparí,234.08,353.17,191.35,58.06,209.165,,,,
AP,Calçoene,293.69,403.77,197.87,56.06,237.8475,,,,
AP,Cutias,288.44,424.13,182.6,37.26,233.1075,,,,
AP,Ferreira Gomes,272.57,398.88,187.5,44.65,225.9,,,,
AP,Itaubal,282.83,413.93,180.78,38.68,229.055,,,,
AP,Laranjal do Jari,206.01,328.42,192.31,65.44,198.045,,,,
AP,Macapá,284.43,417.71,181.26,37.94,230.335,,,,
AP,Mazagão,243.43,366.67,182.8,53.56,211.615,,,,
AP,Oiapoque,295.68,388.73,206.02,69.77,240.05,,,,
AP,Porto Grande,262.66,388.84,187.05,46.91,221.365,,,,
AP,Pracuúba,278.07,401.07,190.43,47.31,229.22,,,,
AP,Santana,275.33,404.41,182.48,41.71,225.9825,,,,
AP,Tartarugalzinho,282.89,411.02,188.06,42.98,231.2375,,,,
AP,Vitória do Jari,,,,,#DIV/0!,,,,
BA,Abaíra,146.93,71.63,9.83,90.63,79.755,,,,
BA,Abaré,70.59,75.68,7.87,14.07,42.0525,,,,
BA,Acajutiba,61.03,118.67,102.33,49.73,82.94,,,,
BA,Adustina,39,93.23,81.2,27.53,60.24,,,,
BA,Água Fria,68.23,97.82,77.26,51.21,73.63,,,,
